Signal Legend:

Key        Signal Name

0        = DAT_DAC
1        = SW
2        = Filter:inst|subFilter:u_subFilter_1_re|dout_1_re_1[0..7]
3        = Filter:inst|subFilter:u_subFilter_1_re|foutDly[9..16]

Data Table:

Signals-> 0    1    2   3   

sample

-128      2224 00Fh 11  5   
-127      2224 00Fh 5   255 
-126      2032 00Fh -1  249 
-125      1936 00Fh -7  243 
-124      1936 00Fh -13 237 
-123      1744 00Fh -19 232 
-122      1744 00Fh -24 226 
-121      1568 00Fh -30 221 
-120      1488 00Fh -35 216 
-119      1488 00Fh -40 212 
-118      1344 00Fh -44 208 
-117      1344 00Fh -48 204 
-116      1216 00Fh -52 201 
-115      1168 00Fh -55 198 
-114      1168 00Fh -58 195 
-113      1072 00Fh -61 193 
-112      1072 00Fh -63 192 
-111      1040 00Fh -64 192 
-110      1024 00Fh -64 127 
-109      1024 00Fh -65 192 
-108      1024 00Fh -64 192 
-107      1024 00Fh -64 194 
-106      1056 00Fh -62 195 
-105      1072 00Fh -61 198 
-104      1072 00Fh -58 201 
-103      1168 00Fh -55 204 
-102      1168 00Fh -52 208 
-101      1280 00Fh -48 212 
-100      1344 00Fh -44 217 
-99       1344 00Fh -39 222 
-98       1504 00Fh -34 227 
-97       1504 00Fh -29 232 
-96       1680 00Fh -24 238 
-95       1760 00Fh -18 243 
-94       1760 00Fh -13 249 
-93       1936 00Fh -7  255 
-92       1936 00Fh -1  5   
-91       2128 00Fh 5   11  
-90       2224 00Fh 11  17  
-89       2224 00Fh 17  22  
-88       2400 00Fh 22  28  
-87       2400 00Fh 28  33  
-86       2560 00Fh 33  38  
-85       2656 00Fh 38  43  
-84       2656 00Fh 43  47  
-83       2800 00Fh 47  51  
-82       2800 00Fh 51  54  
-81       2928 00Fh 54  57  
-80       2960 00Fh 57  59  
-79       2960 00Fh 59  61  
-78       3024 00Fh 61  63  
-77       3024 00Fh 63  63  
-76       3056 00Fh 63  128 
-75       3072 00Fh 64  63  
-74       3072 00Fh 63  63  
-73       3056 00Fh 63  62  
-72       3056 00Fh 62  60  
-71       3008 00Fh 60  58  
-70       2976 00Fh 58  55  
-69       2976 00Fh 55  51  
-68       2864 00Fh 51  48  
-67       2864 00Fh 48  43  
-66       2720 00Fh 43  39  
-65       2672 00Fh 39  34  
-64       2672 00Fh 34  29  
-63       2512 00Fh 29  24  
-62       2512 00Fh 24  18  
-61       2336 00Fh 18  12  
-60       2240 00Fh 12  6   
-59       2240 00Fh 6   1   
-58       2064 00Fh 1   251 
-57       2064 00Fh -5  245 
-56       1872 00Fh -11 239 
-55       1776 00Fh -17 233 
-54       1776 00Fh -23 228 
-53       1600 00Fh -28 223 
-52       1600 00Fh -33 218 
-51       1456 00Fh -38 213 
-50       1360 00Fh -43 209 
-49       1360 00Fh -47 205 
-48       1232 00Fh -51 201 
-47       1232 00Fh -55 198 
-46       1136 00Fh -58 196 
-45       1088 00Fh -60 194 
-44       1088 00Fh -62 193 
-43       1040 00Fh -63 192 
-42       1040 00Fh -64 127 
-41       992  00Fh -65 192 
-40       1024 00Fh -64 192 
-39       1024 00Fh -64 193 
-38       1040 00Fh -63 195 
-37       1040 00Fh -61 197 
-36       1104 00Fh -59 200 
-35       1152 00Fh -56 203 
-34       1152 00Fh -53 207 
-33       1264 00Fh -49 211 
-32       1264 00Fh -45 215 
-31       1392 00Fh -41 220 
-30       1472 00Fh -36 225 
-29       1472 00Fh -31 231 
-28       1648 00Fh -25 236 
-27       1648 00Fh -20 242 
-26       1824 00Fh -14 248 
-25       1920 00Fh -8  254 
-24       1920 00Fh -2  4   
-23       2112 00Fh 4   9   
-22       2112 00Fh 9   15  
-21       2288 00Fh 15  21  
-20       2384 00Fh 21  26  
-19       2384 00Fh 26  32  
-18       2560 00Fh 32  37  
-17       2560 00Fh 37  41  
-16       2704 00Fh 41  46  
-15       2784 00Fh 46  50  
-14       2784 00Fh 50  53  
-13       2896 00Fh 53  56  
-12       2896 00Fh 56  59  
-11       2976 00Fh 59  61  
-10       3024 00Fh 61  62  
-9        3024 00Fh 62  63  
-8        3056 00Fh 63  128 
-7        3056 00Fh 64  128 
-6        3072 00Fh 64  63  
-5        3056 00Fh 63  62  
-4        3056 00Fh 62  60  
-3        3008 00Fh 60  58  
-2        3008 00Fh 58  55  
-1        2912 00Fh 55  52  
0         2880 00Fh 52  49  
1         2880 00Fh 49  44  
2         2752 00Fh 44  40  
3         2752 00Fh 40  35  
4         2592 00Fh 35  30  
5         2528 00Fh 30  25  
6         2528 00Fh 25  19  
7         2352 00Fh 19  14  
8         2352 00Fh 14  8   
9         2176 00Fh 8   2   
10        2080 00Fh 2   252 
11        2080 00Fh -4  246 
12        1888 00Fh -10 240 
13        1888 00Fh -16 235 
14        1696 00Fh -21 229 
15        1616 00Fh -27 224 
16        1616 00Fh -32 219 
17        1456 00Fh -37 214 
18        1456 00Fh -42 210 
19        1312 00Fh -46 206 
20        1248 00Fh -50 202 
21        1248 00Fh -54 199 
22        1136 00Fh -57 197 
23        1136 00Fh -59 195 
24        1072 00Fh -61 193 
25        1040 00Fh -63 192 
26        1040 00Fh -64 127 
27        1008 00Fh -65 127 
28        1008 00Fh -65 192 
29        1040 00Fh -64 193 
30        1040 00Fh -63 195 
31        1040 00Fh -61 197 
32        1104 00Fh -59 199 
33        1104 00Fh -57 202 
34        1200 00Fh -54 206 
35        1248 00Fh -50 210 
36        1248 00Fh -46 214 
37        1376 00Fh -42 219 
38        1376 00Fh -37 224 
39        1552 00Fh -32 229 
40        1616 00Fh -27 235 
41        1616 00Fh -21 240 
42        1792 00Fh -16 246 
43        1792 00Fh -10 252 
44        1984 00Fh -4  2   
45        2080 00Fh 2   8   
46        2080 00Fh 8   14  
47        2272 00Fh 14  19  
48        2272 00Fh 19  25  
49        2448 00Fh 25  30  
50        2528 00Fh 30  35  
51        2528 00Fh 35  40  
52        2688 00Fh 40  44  
53        2688 00Fh 44  49  
54        2816 00Fh 49  52  
55        2880 00Fh 52  55  
56        2880 00Fh 55  58  
57        2976 00Fh 58  60  
58        2976 00Fh 60  62  
59        3040 00Fh 62  63  
60        3056 00Fh 63  128 
61        3056 00Fh 64  128 
62        3072 00Fh 64  63  
63        3072 00Fh 63  62  
64        3056 00Fh 62  61  
65        3024 00Fh 61  59  
66        3024 00Fh 59  56  
67        2944 00Fh 56  53  
68        2944 00Fh 53  50  
69        2864 00Fh 50  46  
70        2784 00Fh 46  41  
71        2784 00Fh 41  37  
72        2640 00Fh 37  32  
73        2640 00Fh 32  26  
74        2464 00Fh 26  21  
75        2384 00Fh 21  15  
76        2384 00Fh 15  9   
77        2192 00Fh 9   4   
78        2192 00Fh 4   254 
79        2016 00Fh -2  248 
80        1920 00Fh -8  242 
81        1920 00Fh -14 236 
82        1728 00Fh -20 231 
83        1728 00Fh -25 225 
84        1552 00Fh -31 220 
85        1472 00Fh -36 215 
86        1472 00Fh -41 211 
87        1328 00Fh -45 207 
88        1328 00Fh -49 203 
89        1200 00Fh -53 200 
90        1152 00Fh -56 197 
91        1152 00Fh -59 195 
92        1072 00Fh -61 193 
93        1072 00Fh -63 192 
94        1040 00Fh -64 192 
95        1024 00Fh -64 127 
96        1024 00Fh -65 192 
97        1024 00Fh -64 193 
98        1024 00Fh -63 194 
99        1072 00Fh -62 196 
100       1088 00Fh -60 198 
101       1088 00Fh -58 201 
102       1168 00Fh -55 205 
103       1168 00Fh -51 209 
104       1296 00Fh -47 213 
105       1360 00Fh -43 218 
106       1360 00Fh -38 223 
107       1520 00Fh -33 228 
108       1520 00Fh -28 233 
109       1664 00Fh -23 239 
110       1776 00Fh -17 245 
111       1776 00Fh -11 251 
112       1968 00Fh -5  1   
113       1968 00Fh 1   6   
114       2160 00Fh 6   12  
115       2240 00Fh 12  18  
116       2240 00Fh 18  24  
117       2432 00Fh 24  29  
118       2432 00Fh 29  34  
119       2608 00Fh 34  39  
120       2672 00Fh 39  43  
121       2672 00Fh 43  48  
122       2816 00Fh 48  51  
123       2816 00Fh 51  55  
124       2928 00Fh 55  58  
125       2976 00Fh 58  60  
126       2976 00Fh 60  62  
127       3040 00Fh 62  63  
128       3040 00Fh 63  63  
129       3056 00Fh 63  128 
130       3072 00Fh 64  63  
131       3072 00Fh 63  63  
132       3056 00Fh 63  61  
133       3056 00Fh 61  59  
134       2992 00Fh 59  57  
135       2960 00Fh 57  54  
136       2960 00Fh 54  51  
137       2864 00Fh 51  47  
138       2864 00Fh 47  43  
139       2736 00Fh 43  38  
140       2656 00Fh 38  33  
141       2656 00Fh 33  28  
142       2496 00Fh 28  22  
143       2496 00Fh 22  17  
144       2304 00Fh 17  11  
145       2224 00Fh 11  5   
146       2224 00Fh 5   255 
147       2032 00Fh -1  249 
148       2032 00Fh -7  243 
149       1840 00Fh -13 238 
150       1760 00Fh -18 232 
151       1760 00Fh -24 227 
152       1584 00Fh -29 222 
153       1584 00Fh -34 217 
154       1408 00Fh -39 212 
155       1344 00Fh -44 208 
156       1344 00Fh -48 204 
157       1216 00Fh -52 201 
158       1216 00Fh -55 198 
159       1136 00Fh -58 195 
160       1072 00Fh -61 194 
161       1072 00Fh -62 192 
162       1024 00Fh -64 192 
163       1024 00Fh -64 127 
164       992  00Fh -65 192 
165       1024 00Fh -64 192 
166       1024 00Fh -64 193 
167       1040 00Fh -63 195 
168       1040 00Fh -61 198 
169       1136 00Fh -58 201 
170       1168 00Fh -55 204 
171       1168 00Fh -52 208 
