Signal Legend:

Key        Signal Name

0        = SW[0..7]
1        = SW[8]
2        = SW[9]
3        = DAC_NCO
4        = DAC_FIR

Data Table:

Signals-> 0   1 2 3 4    

sample

-16       01h 0 1 0 2462 
-15       01h 0 1 0 2462 
-14       01h 0 1 0 2524 
-13       01h 0 1 0 2536 
-12       01h 0 1 0 2536 
-11       01h 0 1 0 2559 
-10       01h 0 1 0 2559 
-9        01h 0 1 0 2551 
-8        01h 0 1 0 2523 
-7        01h 0 1 0 2523 
-6        01h 0 1 0 2460 
-5        01h 0 1 0 2460 
-4        01h 0 1 0 2372 
-3        01h 0 1 0 2312 
-2        01h 0 1 0 2312 
-1        01h 0 1 0 2204 
0         01h 0 1 0 2204 
1         01h 0 1 0 2078 
2         01h 0 1 0 2014 
3         01h 0 1 0 2014 
4         01h 0 1 0 1888 
5         01h 0 1 0 1888 
6         01h 0 1 0 1780 
7         01h 0 1 0 1720 
8         01h 0 1 0 1720 
9         01h 0 1 0 1632 
10        01h 0 1 0 1632 
11        01h 0 1 0 1571 
12        01h 0 1 0 1559 
13        01h 0 1 0 1559 
14        01h 0 1 0 1536 
15        01h 0 1 0 1536 
16        01h 0 1 0 1544 
17        01h 0 1 0 1572 
18        01h 0 1 0 1572 
19        01h 0 1 0 1634 
20        01h 0 1 0 1634 
21        01h 0 1 0 1723 
22        01h 0 1 0 1783 
23        01h 0 1 0 1783 
24        01h 0 1 0 1891 
25        01h 0 1 0 1891 
26        01h 0 1 0 2018 
27        01h 0 1 0 2082 
28        01h 0 1 0 2082 
29        01h 0 1 0 2208 
30        01h 0 1 0 2208 
31        01h 0 1 0 2316 
32        01h 0 1 0 2375 
33        01h 0 1 0 2375 
34        01h 0 1 0 2463 
35        01h 0 1 0 2463 
36        01h 0 1 0 2524 
37        01h 0 1 0 2536 
38        01h 0 1 0 2536 
39        01h 0 1 0 2559 
40        01h 0 1 0 2559 
41        01h 0 1 0 2551 
42        01h 0 1 0 2522 
43        01h 0 1 0 2522 
44        01h 0 1 0 2460 
45        01h 0 1 0 2460 
46        01h 0 1 0 2372 
47        01h 0 1 0 2312 
48        01h 0 1 0 2312 
49        01h 0 1 0 2204 
50        01h 0 1 0 2204 
51        01h 0 1 0 2077 
52        01h 0 1 0 2013 
53        01h 0 1 0 2013 
54        01h 0 1 0 1887 
55        01h 0 1 0 1887 
56        01h 0 1 0 1779 
57        01h 0 1 0 1711 
58        01h 0 1 0 1711 
59        01h 0 1 0 1632 
60        01h 0 1 0 1632 
61        01h 0 1 0 1571 
62        01h 0 1 0 1559 
63        01h 0 1 0 1559 
64        01h 0 1 0 1536 
65        01h 0 1 0 1536 
66        01h 0 1 0 1544 
67        01h 0 1 0 1572 
68        01h 0 1 0 1572 
69        01h 0 1 0 1635 
70        01h 0 1 0 1635 
71        01h 0 1 0 1723 
72        01h 0 1 0 1768 
73        01h 0 1 0 1768 
74        01h 0 1 0 1892 
75        01h 0 1 0 1892 
76        01h 0 1 0 2018 
77        01h 0 1 0 2083 
78        01h 0 1 0 2083 
79        01h 0 1 0 2208 
80        01h 0 1 0 2208 
81        01h 0 1 0 2316 
82        01h 0 1 0 2384 
83        01h 0 1 0 2384 
84        01h 0 1 0 2463 
85        01h 0 1 0 2463 
86        01h 0 1 0 2525 
87        01h 0 1 0 2536 
88        01h 0 1 0 2536 
89        01h 0 1 0 2559 
90        01h 0 1 0 2559 
91        01h 0 1 0 2551 
92        01h 0 1 0 2522 
93        01h 0 1 0 2522 
94        01h 0 1 0 2460 
95        01h 0 1 0 2460 
96        01h 0 1 0 2372 
97        01h 0 1 0 2327 
98        01h 0 1 0 2327 
99        01h 0 1 0 2203 
100       01h 0 1 0 2203 
101       01h 0 1 0 2077 
102       01h 0 1 0 2012 
103       01h 0 1 0 2012 
104       01h 0 1 0 1886 
105       01h 0 1 0 1886 
106       01h 0 1 0 1778 
107       01h 0 1 0 1711 
108       01h 0 1 0 1711 
109       01h 0 1 0 1631 
110       01h 0 1 0 1631 
111       01h 0 1 0 1570 
