Signal Legend:

Key        Signal Name

0        = SW[0..7]
1        = SW[8]
2        = SW[9]
3        = DAC_NCO
4        = DAC_FIR

Data Table:

Signals-> 0   1 2 3    4    

sample

-16       00h 0 0 1328 2024 
-15       00h 0 0 1026 2193 
-14       00h 0 0 1026 2193 
-13       00h 0 0 1667 2287 
-12       00h 0 0 1667 2287 
-11       00h 0 0 2798 2071 
-10       00h 0 0 3069 1902 
-9        00h 0 0 3069 1902 
-8        00h 0 0 2428 1808 
-7        00h 0 0 2428 1808 
-6        00h 0 0 1841 2024 
-5        00h 0 0 1026 2193 
-4        00h 0 0 1026 2193 
-3        00h 0 0 1666 2287 
-2        00h 0 0 1666 2287 
-1        00h 0 0 2286 2071 
0         00h 0 0 3069 1902 
1         00h 0 0 3069 1902 
2         00h 0 0 2429 1808 
3         00h 0 0 2429 1808 
4         00h 0 0 1329 2039 
5         00h 0 0 1026 2193 
6         00h 0 0 1026 2193 
7         00h 0 0 1666 2287 
8         00h 0 0 1666 2287 
9         00h 0 0 2286 2056 
10        00h 0 0 3069 1902 
11        00h 0 0 3069 1902 
12        00h 0 0 2429 1808 
13        00h 0 0 2429 1808 
14        00h 0 0 1843 2039 
15        00h 0 0 1026 2193 
16        00h 0 0 1026 2193 
17        00h 0 0 1666 2287 
18        00h 0 0 1666 2287 
19        00h 0 0 2284 2056 
20        00h 0 0 3069 1903 
21        00h 0 0 3069 1903 
22        00h 0 0 2429 1808 
23        00h 0 0 2429 1808 
24        00h 0 0 1843 2039 
25        00h 0 0 1026 2192 
26        00h 0 0 1026 2192 
27        00h 0 0 1664 2287 
28        00h 0 0 1664 2287 
29        00h 0 0 2796 2056 
30        00h 0 0 3069 1903 
31        00h 0 0 3069 1903 
32        00h 0 0 2431 1808 
33        00h 0 0 2431 1808 
34        00h 0 0 1843 2039 
35        00h 0 0 1026 2192 
36        00h 0 0 1026 2192 
37        00h 0 0 1664 2287 
38        00h 0 0 1664 2287 
39        00h 0 0 2796 2056 
40        00h 0 0 3069 1903 
41        00h 0 0 3069 1903 
42        00h 0 0 2431 1799 
43        00h 0 0 2431 1799 
44        00h 0 0 1832 2039 
45        00h 0 0 1026 2192 
46        00h 0 0 1026 2192 
47        00h 0 0 1664 2287 
48        00h 0 0 1664 2287 
49        00h 0 0 2295 2056 
50        00h 0 0 3069 1903 
51        00h 0 0 3069 1903 
52        00h 0 0 2432 1799 
53        00h 0 0 2432 1799 
54        00h 0 0 1832 2039 
55        00h 0 0 1026 2192 
56        00h 0 0 1026 2192 
57        00h 0 0 1663 2296 
58        00h 0 0 1663 2296 
59        00h 0 0 2807 2056 
60        00h 0 0 3069 1903 
61        00h 0 0 3069 1903 
62        00h 0 0 2432 1799 
63        00h 0 0 2432 1799 
64        00h 0 0 1800 2039 
65        00h 0 0 1026 2192 
66        00h 0 0 1026 2192 
67        00h 0 0 1663 2296 
68        00h 0 0 1663 2296 
69        00h 0 0 2293 2056 
70        00h 0 0 3069 1903 
71        00h 0 0 3069 1903 
72        00h 0 0 2432 1799 
73        00h 0 0 2432 1799 
74        00h 0 0 1834 2038 
75        00h 0 0 1026 2192 
76        00h 0 0 1026 2192 
77        00h 0 0 1661 2296 
78        00h 0 0 1661 2296 
79        00h 0 0 2293 2057 
80        00h 0 0 3069 1903 
81        00h 0 0 3069 1903 
82        00h 0 0 2434 1799 
83        00h 0 0 2434 1799 
84        00h 0 0 1802 2038 
85        00h 0 0 1026 2192 
86        00h 0 0 1026 2192 
87        00h 0 0 1661 2296 
88        00h 0 0 1661 2296 
89        00h 0 0 2293 2057 
90        00h 0 0 3069 1903 
91        00h 0 0 3069 1903 
92        00h 0 0 2434 1799 
93        00h 0 0 2434 1799 
94        00h 0 0 1835 2038 
95        00h 0 0 1026 2192 
96        00h 0 0 1026 2192 
97        00h 0 0 1661 2296 
98        00h 0 0 1661 2296 
99        00h 0 0 2292 2057 
100       00h 0 0 3069 1912 
101       00h 0 0 3069 1912 
102       00h 0 0 2434 1799 
103       00h 0 0 2434 1799 
104       00h 0 0 1803 2038 
105       00h 0 0 1026 2183 
106       00h 0 0 1026 2183 
107       00h 0 0 1660 2296 
108       00h 0 0 1660 2296 
109       00h 0 0 2804 2057 
110       00h 0 0 3069 1912 
111       00h 0 0 3069 1912 
