Signal Legend:

Key        Signal Name

0        = SW[0..2]
1        = DAC_interface:inst12|DAT2DAC[0..11]
2        = auout_cs4334:inst9|LRCLK_H2L_W
3        = button[2]

Data Table:

Signals-> 0  1    2 3 

sample

-16       1h 1764 0 0 
-15       1h 1764 0 0 
-14       1h 1764 0 0 
-13       1h 1764 0 0 
-12       1h 1764 0 0 
-11       1h 1764 0 0 
-10       1h 1764 0 0 
-9        1h 1764 0 0 
-8        1h 1764 0 0 
-7        1h 1764 0 0 
-6        1h 1764 0 0 
-5        1h 1764 0 0 
-4        1h 1764 0 0 
-3        1h 1764 0 0 
-2        1h 1764 0 0 
-1        1h 1764 0 0 
0         1h 1764 0 0 
1         1h 1764 0 0 
2         1h 1764 0 0 
3         1h 1764 0 0 
4         1h 1764 0 0 
5         1h 1764 0 0 
6         1h 1764 0 0 
7         1h 1764 0 0 
8         1h 1764 0 0 
9         1h 1764 0 0 
10        1h 1764 0 0 
11        1h 1764 0 0 
12        1h 1764 0 0 
13        1h 1764 0 0 
14        1h 1764 0 0 
15        1h 1764 0 0 
16        1h 1764 0 0 
17        1h 1764 0 0 
18        1h 1764 0 0 
19        1h 1764 0 0 
20        1h 1764 0 0 
21        1h 1764 0 0 
22        1h 1764 0 0 
23        1h 1764 0 0 
24        1h 1764 0 0 
25        1h 1764 0 0 
26        1h 1764 0 0 
27        1h 1764 0 0 
28        1h 1764 0 0 
29        1h 1764 0 0 
30        1h 1764 0 0 
31        1h 1764 0 0 
32        1h 1764 0 0 
33        1h 1764 0 0 
34        1h 1764 0 0 
35        1h 1764 0 0 
36        1h 1764 0 0 
37        1h 1764 0 0 
38        1h 1764 0 0 
39        1h 1764 0 0 
40        1h 1764 0 0 
41        1h 1764 0 0 
42        1h 1764 0 0 
43        1h 1764 0 0 
44        1h 1764 0 0 
45        1h 1764 0 0 
46        1h 1764 0 0 
47        1h 1764 0 0 
48        1h 1764 0 0 
49        1h 1764 0 0 
50        1h 1764 0 0 
51        1h 1764 0 0 
52        1h 1764 0 0 
53        1h 1764 0 0 
54        1h 1764 0 0 
55        1h 1764 0 0 
56        1h 1764 0 0 
57        1h 1764 0 0 
58        1h 1764 0 0 
59        1h 1764 0 0 
60        1h 1764 0 0 
61        1h 1764 0 0 
62        1h 1764 0 0 
63        1h 1764 0 0 
64        1h 1764 0 0 
65        1h 1764 0 0 
66        1h 1764 0 0 
67        1h 1764 0 0 
68        1h 1764 0 0 
69        1h 1764 0 0 
70        1h 1764 0 0 
71        1h 1764 0 0 
72        1h 1764 0 0 
73        1h 1764 0 0 
74        1h 1764 0 0 
75        1h 1764 0 0 
76        1h 1764 0 0 
77        1h 1764 0 0 
78        1h 1764 0 0 
79        1h 1764 0 0 
80        1h 1764 0 0 
81        1h 1764 0 0 
82        1h 1764 0 0 
83        1h 1764 0 0 
84        1h 1764 0 0 
85        1h 1764 0 0 
86        1h 1764 0 0 
87        1h 1764 0 0 
88        1h 1764 0 0 
89        1h 1764 0 0 
90        1h 1764 0 0 
91        1h 1764 0 0 
92        1h 1764 0 0 
93        1h 1764 0 0 
94        1h 1764 0 0 
95        1h 1764 0 0 
96        1h 1764 0 0 
97        1h 1764 0 0 
98        1h 1764 0 0 
99        1h 1764 0 0 
100       1h 1764 0 0 
101       1h 1764 0 0 
102       1h 1764 0 0 
103       1h 1764 0 0 
104       1h 1764 0 0 
105       1h 1764 0 0 
106       1h 1764 0 0 
107       1h 1764 0 0 
108       1h 1764 0 0 
109       1h 1764 0 0 
110       1h 1764 0 0 
111       1h 1764 0 0 
